title;author;link
Sussy Baka (only baka);Xeoml;https://huds.tf/forum/xthreads_attach.php/4192_1624455081_9cebf18f/2b82a536b673ed1f914baf14ebce292b/killsound.wav
Sussy Baka (only sussy);Xeoml;https://huds.tf/forum/xthreads_attach.php/4191_1624455044_7473443c/880a7e6abd8a318b9d291efdb76b2113/hitsound.wav
3D Pinball Space Cadet Ball Lo...;cringles sour cum and onion;https://huds.tf/forum/xthreads_attach.php/4183_1624431881_c2d98948/eca9f550ece7b34d1ef4ec9806e05c87/killsound.wav
3D Pinball Space Cadet Bumper;cringles sour cum and onion;https://huds.tf/forum/xthreads_attach.php/4182_1624431850_dad9dbc7/c9b225ab8ba1a77e2e5c2852d14b2818/hitsound.wav
Lo-fi Phonk Cowbell;monkee wit hat;https://huds.tf/forum/xthreads_attach.php/4181_1624431266_829df132/9d453d65331683383da19a5876a8a973/hitsound.wav
Frying Pan || p a n;TheWallaby;https://huds.tf/forum/xthreads_attach.php/4177_1624409988_77841d4c/aa38436dc07d31e5fee56124e996002e/hitsound.wav
Harry Poter - Ho-ho killsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4173_1624390560_7cd0e856/e8d22c61ee315d95ef7c6389c084384e/killsound.wav
DED killsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4172_1624390491_3c72e013/c3791fddb6797e1fa9b991fa707c060f/killsound.wav
Single hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4171_1624389501_a2bb7f12/4b7bd9735de17c75f1342fc5c5b2b271/hitsound.wav
Some short hitsound for every ...;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4169_1624389400_8042aa34/ef5efba8068abcbb6c1f69561944eb45/hitsound.wav
Shy hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4168_1624389353_718ab444/3816bcd99cd79cdee82ab27f21824a46/hitsound.wav
Some hitsound for soldier;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4167_1624389305_720ea7ad/5767ae15970241bfc6bb594546a54b12/hitsound.wav
Some short hitsound for every ...;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4166_1624389243_e4bb15a6/72265747d363ab0e775e11c3653445fa/hitsound.wav
Cell phone hitsound (low &...;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/4165_1624389165_8309a84f/92ed0f02e06cc2ce921c1e85dbe870a9/hitsound.wav
TWOMAD scream;NOTDARCKE;https://huds.tf/forum/xthreads_attach.php/4144_1624131687_0d3ea928/dffbc880acac416c79f392aa2e5febb5/killsound.wav
Oh Oh Hey (TWOMAD);NOTDARCKE;https://huds.tf/forum/xthreads_attach.php/4143_1624131541_dcbed3c2/1e2a56e589f8b213b72fdbee3fbf2538/hitsound.wav
